TIPO_INMUEBLE,ESTRATO,ANTIGUEDAD,PARQUEADEROS,HABITACIONES,BAÑOS,ÁREA CONSTRUIDA M2,PRECIO M2 MMP
Apartamento en venta,2,16 a 30 años,NO,3,1,51.0,3.04
Apartamento en venta,3,16 a 30 años,NO,3,2,44.0,4.32
Apartamento en venta,3,menor a 1 año,SI,1,1,37.0,7.57
Casa en venta,2,9 a 15 años,SI,4,3,128.0,1.84
Casa en venta,2,16 a 30 años,NO,5,2,127.0,3.03
Apartamento en venta,3,1 a 8 años,SI,2,2,54.0,5.39
Casa en venta,2,9 a 15 años,NO,4,5,192.0,2.5
Apartamento en venta,6,1 a 8 años,SI,3,5,166.0,9.64
Apartamento en venta,4,más de 30 años,SI,3,2,59.0,4.15
Apartamento en venta,2,9 a 15 años,NO,3,2,53.0,3.21
Casa en venta,2,1 a 8 años,NO,3,3,80.40999991486,3.17
Apartamento en venta,2,Sin información,NO,2,1,48.0,3.12
Apartamento en venta,2,9 a 15 años,NO,3,2,50.0,3.42
Apartamento en venta,3,1 a 8 años,SI,2,2,55.0,6.18
Apartamento en venta,3,16 a 30 años,NO,3,1,64.0,3.28
Apartamento en venta,3,más de 30 años,SI,3,2,62.0,4.84
Apartamento en venta,3,más de 30 años,NO,3,2,61.0,3.56
Apartamento en venta,3,1 a 8 años,NO,3,2,51.0,3.04
Apartamento en venta,4,1 a 8 años,SI,3,2,59.0,4.15
Apartamento en venta,3,9 a 15 años,SI,2,2,59.0,4.07
Apartaestudio en venta,3,menor a 1 año,SI,1,1,39.0,6.79
Casa en venta,2,16 a 30 años,SI,6,3,155.0,2.13
Apartamento en venta,2,9 a 15 años,NO,2,2,42.0,3.76
Apartamento en venta,3,1 a 8 años,SI,3,2,56.0,5.54
Apartamento en venta,3,menor a 1 año,SI,1,1,36.0,7.44
Apartamento en venta,2,16 a 30 años,NO,2,1,47.0,3.4
Apartamento en venta,4,16 a 30 años,SI,3,2,87.0,5.29
Casa en venta,3,más de 30 años,SI,5,3,137.0,3.36
Casa en venta,3,más de 30 años,SI,4,2,81.0,3.46
Apartamento en venta,3,1 a 8 años,SI,2,2,50.0,6.2
Casa en venta,3,más de 30 años,NO,10,6,459.0,1.31
Apartaestudio en venta,3,menor a 1 año,NO,1,1,35.0,5.29
Casa en venta,2,9 a 15 años,NO,9,7,249.0,2.01
Apartamento en venta,3,1 a 8 años,SI,4,2,80.0,3.25
Casa en venta,2,16 a 30 años,SI,12,5,252.0,1.87
Casa en venta,3,más de 30 años,SI,4,3,147.0,3.27
Casa en venta,3,más de 30 años,SI,5,4,173.0,3.18
Casa en venta,3,16 a 30 años,SI,7,5,70.0,11.86
Casa en venta,3,16 a 30 años,NO,7,4,192.0,1.98
Casa en venta,2,16 a 30 años,NO,4,2,63.0,2.79
Casa en venta,2,Sin información,NO,2,2,104.0,2.79
Casa en venta,2,9 a 15 años,NO,2,1,57.0,3.67
Casa en venta,3,más de 30 años,SI,8,6,480.0,2.06
Casa en venta,2,16 a 30 años,NO,3,2,63.0,2.83
Casa en venta,3,16 a 30 años,NO,3,2,68.0,3.9
Apartamento en venta,2,9 a 15 años,NO,2,1,47.0,3.3
Casa en venta,3,16 a 30 años,NO,3,1,156.0,2.63
Casa en venta,2,16 a 30 años,SI,4,2,64.0,2.89
Casa en venta,2,16 a 30 años,NO,6,2,180.0,2.03
Apartamento en venta,3,16 a 30 años,NO,2,1,52.0,3.58
Apartamento en venta,2,1 a 8 años,NO,2,1,45.0,5.0
Casa en venta,3,Sin información,SI,4,2,210.0,2.43
Casa en venta,2,16 a 30 años,SI,9,5,216.0,2.18
Casa en venta,4,más de 30 años,SI,8,6,330.0,4.09
Casa en venta,3,16 a 30 años,NO,4,3,210.0,2.13
Casa en venta,3,16 a 30 años,SI,4,2,99.0,2.62
Apartamento en venta,2,9 a 15 años,NO,3,1,49.0,3.27
Casa en venta,2,16 a 30 años,NO,4,2,116.0,2.16
Casa en venta,2,9 a 15 años,SI,5,3,224.0,1.5
Casa en venta,2,16 a 30 años,SI,4,4,126.0,3.57
Apartamento en venta,4,1 a 8 años,SI,3,2,70.0,4.43
Apartamento en venta,4,9 a 15 años,SI,3,2,47.0,5.32
Apartamento en venta,3,16 a 30 años,NO,3,1,47.0,3.83
Casa en venta,2,16 a 30 años,SI,15,8,290.0,2.0
Casa en venta,2,9 a 15 años,SI,3,2,144.0,2.43
Apartamento en venta,2,1 a 8 años,NO,2,1,46.0,4.78
Casa en venta,2,más de 30 años,SI,8,4,240.0,1.88
Apartamento en venta,4,9 a 15 años,SI,3,2,65.0,4.29
Apartamento en venta,2,1 a 8 años,NO,2,1,32.0,4.69
Apartamento en venta,2,9 a 15 años,NO,2,1,47.0,3.36
Apartamento en venta,3,16 a 30 años,SI,3,2,64.0,3.44
Apartamento en venta,2,1 a 8 años,NO,3,2,66.0,2.71
Casa en venta,2,16 a 30 años,SI,12,4,264.0,1.33
Apartamento en venta,4,1 a 8 años,SI,3,2,93.0,4.59
Apartamento en venta,2,9 a 15 años,NO,3,2,48.0,3.12
Apartamento en venta,3,más de 30 años,NO,3,1,59.0,3.73
Apartamento en venta,4,16 a 30 años,SI,3,2,84.0,4.58
Apartamento en venta,3,más de 30 años,NO,1,1,29.0,5.34
Casa en venta,2,9 a 15 años,SI,3,2,36.0,8.06
Apartamento en venta,3,16 a 30 años,NO,2,1,42.0,5.95
Apartamento en venta,3,16 a 30 años,NO,3,1,55.0,3.45
Casa en venta,3,más de 30 años,SI,4,3,178.0,3.03
Casa en venta,3,16 a 30 años,SI,4,3,199.0,3.02
Casa en venta,4,más de 30 años,SI,7,3,165.0,2.85
Apartamento en venta,4,9 a 15 años,SI,3,2,60.0,5.0
Apartamento en venta,3,9 a 15 años,NO,3,2,68.0,4.26
Apartamento en venta,3,16 a 30 años,NO,2,1,60.0,4.17
Casa en venta,3,Sin información,SI,6,3,221.0,2.35
Casa en venta,4,Sin información,SI,4,3,250.0,4.0
Apartamento en venta,4,Sin información,NO,3,2,86.0,3.26
Apartamento en venta,3,1 a 8 años,NO,3,2,49.0,3.67
Apartamento en venta,2,9 a 15 años,SI,3,2,53.0,3.02
Apartamento en venta,2,1 a 8 años,NO,3,1,43.0,3.37
Apartamento en venta,3,16 a 30 años,NO,3,2,58.0,4.31
Apartamento en venta,3,9 a 15 años,NO,4,2,71.0,3.24
Casa en venta,3,más de 30 años,SI,8,4,240.0,1.88
Apartamento en venta,4,1 a 8 años,SI,3,2,69.0,4.78
Casa en venta,3,16 a 30 años,NO,2,1,79.0,2.91
Apartamento en venta,2,1 a 8 años,NO,3,2,58.0,3.1
Apartamento en venta,2,9 a 15 años,NO,2,1,43.0,3.37
Apartamento en venta,3,más de 30 años,NO,3,1,61.0,4.18
Apartamento en venta,3,más de 30 años,SI,3,2,60.0,4.12
Apartamento en venta,3,16 a 30 años,NO,3,1,52.0,3.37
Apartamento en venta,3,más de 30 años,SI,3,2,74.0,3.92
Apartamento en venta,2,16 a 30 años,NO,3,1,51.0,3.04
Apartamento en venta,4,1 a 8 años,SI,2,2,49.0,5.57
Apartamento en venta,3,9 a 15 años,NO,3,2,44.53999997186947,4.27
Apartamento en venta,3,más de 30 años,SI,3,1,60.0,3.5
Apartamento en venta,2,1 a 8 años,NO,3,2,66.0,2.5
Apartamento en venta,4,1 a 8 años,SI,3,2,66.25999983936968,4.98
Apartamento en venta,3,16 a 30 años,NO,3,2,44.0,4.55
Apartamento en venta,2,16 a 30 años,NO,2,1,42.0,3.25
Casa en venta,2,16 a 30 años,SI,8,5,328.6499994131249,1.28
Apartamento en venta,4,1 a 8 años,SI,3,2,77.0,4.68
Apartamento en venta,3,1 a 8 años,SI,3,2,64.0,3.75
Casa en venta,2,9 a 15 años,SI,3,3,110.0,2.36
Casa en venta,3,más de 30 años,NO,5,2,165.0,3.03
Casa en venta,3,Sin información,SI,8,3,220.0,2.68
Casa en venta,3,más de 30 años,SI,3,3,92.0,4.13
Casa en venta,3,1 a 8 años,SI,3,2,250.0,0.8
Casa en venta,2,9 a 15 años,NO,6,3,154.0,1.69
Apartaestudio en venta,3,menor a 1 año,NO,1,1,40.0,3.25
Apartamento en venta,3,más de 30 años,SI,3,2,63.0,4.13
Casa en venta,3,16 a 30 años,SI,3,3,104.0,4.33
Casa en venta,2,16 a 30 años,NO,9,4,63.24999995838816,6.01
Casa en venta,3,16 a 30 años,SI,8,6,370.0,1.32
Apartamento en venta,3,1 a 8 años,NO,2,1,40.0,4.75
Apartamento en venta,2,1 a 8 años,NO,3,2,66.0,2.71
Casa en venta,2,más de 30 años,NO,6,3,252.0,2.3
Casa en venta,3,16 a 30 años,SI,3,1,75.0,5.6
Apartamento en venta,4,16 a 30 años,SI,3,2,68.0,4.71
Casa en venta,3,16 a 30 años,NO,3,2,65.0,3.48
Apartamento en venta,2,9 a 15 años,NO,3,1,38.0,3.95
Casa en venta,2,9 a 15 años,SI,5,2,131.39999957951989,1.9
Casa en venta,2,9 a 15 años,NO,4,2,82.0,2.07
Casa en venta,3,más de 30 años,SI,4,4,180.0,3.44
Casa en venta,3,Sin información,NO,4,3,144.0,3.26
Apartamento en venta,2,16 a 30 años,NO,2,1,42.0,3.29
Casa en venta,3,16 a 30 años,SI,4,2,72.0,4.58
Casa en venta,2,más de 30 años,SI,6,3,266.0,1.69
Casa en venta,3,más de 30 años,SI,4,2,100.0,3.5
Apartamento en venta,3,1 a 8 años,NO,3,2,50.0,3.46
Apartamento en venta,3,1 a 8 años,SI,2,2,71.0,4.08
Apartamento en venta,3,9 a 15 años,NO,3,2,52.0,3.75
Apartamento en venta,2,9 a 15 años,NO,3,2,48.0,3.23
Casa en venta,3,más de 30 años,SI,3,2,82.0,3.54
Casa en venta,3,Sin información,NO,3,3,94.0,3.99
Apartamento en venta,3,16 a 30 años,NO,2,1,42.0,5.95
Casa en venta,3,más de 30 años,NO,10,3,192.0,2.34
Apartamento en venta,3,Sin información,SI,3,2,74.0,4.12
Apartamento en venta,3,Sin información,SI,3,2,84.0,3.87
Casa en venta,3,16 a 30 años,SI,11,8,616.0,2.44
Casa en venta,4,16 a 30 años,SI,4,5,200.0,3.4
Apartamento en venta,4,Sin información,SI,3,2,71.0,4.23
Apartamento en venta,4,9 a 15 años,SI,3,2,80.0,4.0
Casa en venta,3,más de 30 años,NO,4,4,146.0,3.29
Apartamento en venta,4,9 a 15 años,SI,3,2,99.0,6.06
Apartamento en venta,2,9 a 15 años,NO,3,1,40.0,4.5
Casa en venta,3,Sin información,SI,3,3,100.0,3.1
Apartamento en venta,3,más de 30 años,NO,3,1,56.0,3.39
Casa en venta,3,más de 30 años,NO,3,1,89.0,3.54
Casa en venta,4,Sin información,NO,3,2,400.0,1.62
Apartamento en venta,3,Sin información,NO,3,2,68.0,3.68
Apartamento en venta,2,9 a 15 años,NO,3,2,50.0,3.42
Casa en venta,3,más de 30 años,NO,3,2,66.0,6.82
Casa en venta,3,más de 30 años,NO,4,2,95.0,3.58
Apartamento en venta,2,9 a 15 años,SI,3,2,51.0,3.14
Apartamento en venta,2,9 a 15 años,NO,3,1,48.0,3.12
Casa en venta,2,9 a 15 años,NO,4,2,95.0,2.79
Apartamento en venta,2,9 a 15 años,NO,3,1,52.0,3.17
Apartamento en venta,2,1 a 8 años,NO,3,2,47.0,3.19
Casa en venta,3,1 a 8 años,NO,3,3,72.0,3.47
Casa en venta,3,Sin información,NO,4,3,126.0,2.22
Apartamento en venta,2,menor a 1 año,NO,2,1,46.0,3.48
Apartamento en venta,3,9 a 15 años,SI,3,1,38.0,5.26
Apartamento en venta,3,9 a 15 años,NO,3,3,70.0,2.77
Apartamento en venta,3,16 a 30 años,NO,2,2,56.0,3.21
Apartamento en venta,3,más de 30 años,SI,2,2,62.0,3.84
Apartamento en venta,4,9 a 15 años,SI,3,2,67.0,3.81
Apartamento en venta,2,1 a 8 años,NO,3,2,43.69999976693332,3.43
Casa en venta,3,16 a 30 años,NO,3,2,60.0,5.0
Apartamento en venta,2,9 a 15 años,NO,3,1,44.0,3.41
Apartamento en venta,4,16 a 30 años,SI,3,3,134.0,5.82
Apartamento en venta,3,9 a 15 años,SI,3,2,63.0,4.44
Apartamento en venta,4,1 a 8 años,SI,3,2,75.0,5.51
Casa en venta,3,1 a 8 años,SI,7,5,299.0,1.94
Casa en venta,2,16 a 30 años,NO,3,2,400.0,1.64
Apartamento en venta,2,1 a 8 años,NO,3,2,68.0,2.72
Casa en venta,4,más de 30 años,SI,4,4,234.0,2.91
Casa en venta,3,16 a 30 años,SI,8,3,260.0,2.42
Apartamento en venta,4,9 a 15 años,SI,3,2,85.0,4.08
Apartamento en venta,3,1 a 8 años,NO,2,1,45.0,4.22
Casa en venta,4,16 a 30 años,SI,5,4,142.0,4.23
Casa en venta,3,Sin información,SI,10,6,325.0,2.15
Casa en venta,2,9 a 15 años,SI,8,6,165.0,2.36
Casa en venta,2,9 a 15 años,SI,10,7,420.0,1.88
Casa en venta,3,1 a 8 años,SI,3,4,640.0,2.34
Casa en venta,2,9 a 15 años,NO,10,7,260.0,2.12
Casa en venta,3,16 a 30 años,NO,4,3,126.0,2.34
Casa en venta,2,9 a 15 años,SI,6,3,144.0,2.92
Casa en venta,2,16 a 30 años,SI,8,4,240.0,1.71
Apartamento en venta,3,1 a 8 años,SI,2,2,62.0,8.55
Casa en venta,2,1 a 8 años,SI,4,2,100.0,2.4
Casa en venta,2,9 a 15 años,SI,5,3,210.0,1.79
Apartamento en venta,4,9 a 15 años,SI,3,2,55.0,4.24
Casa en venta,2,16 a 30 años,SI,4,5,180.0,1.61
Apartamento en venta,3,9 a 15 años,SI,3,2,64.0,3.77
Casa en venta,2,9 a 15 años,SI,3,3,189.0,2.01
Casa en venta,2,16 a 30 años,NO,3,1,63.0,2.54
Apartamento en venta,3,9 a 15 años,NO,3,2,58.0,3.71
Apartamento en venta,3,16 a 30 años,NO,3,1,53.0,3.79
Apartamento en venta,3,1 a 8 años,NO,1,1,29.0,5.31
Apartamento en venta,2,16 a 30 años,NO,3,1,44.0,3.18
Casa en venta,3,16 a 30 años,NO,3,2,87.0,2.99
Casa en venta,3,16 a 30 años,SI,8,7,288.0,1.7
Apartamento en venta,3,1 a 8 años,SI,2,1,41.0,6.59
